,Price,Address,Locality,Beds,Area,Full Baths,Lot Size
0,"$299,900",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3 Beds,"2,318 Sq. Ft",,
1,"$167,500",32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3 Beds,"2,120 Sq. Ft",,
2,"$150,000",0000 Black Canyon Highway,"Black Canyon City, AZ 85324",,,,5 Acres
3,"$129,500",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3 Beds,"1,220 Sq. Ft",,
4,"$129,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4 Beds,"2,000 Sq. Ft",,
5,"$80,000",34263 S Bertha Street,"Black Canyon City, AZ 85324",5 Beds,"2,260 Sq. Ft",,
6,"$77,900",33160 S Canyon Road,"Black Canyon City, AZ 85324",3 Beds,"1,248 Sq. Ft",,
7,"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3 Beds,"1,404 Sq. Ft",,
8,"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",,,,0.7 Acres
9,"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,,,3 Acres
10,"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,,,
11,"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324",3 Beds,"1,056 Sq. Ft",,
12,"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2 Beds,784 Sq. Ft,,Under 1/2 Acre
13,"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,,,2.35 Acres
14,"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,,,2.05 Acres
15,"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,,,0.73 Acres
16,"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",,,,0.31 Acres
